time,power
666,77.69304
667,78.71303
668,77.75728
669,76.542145
670,75.115746
671,76.63057
672,67.33661
673,59.7749
674,62.666462
675,65.11569
676,68.555534
677,78.76939
678,82.26974
679,76.02579
680,79.375145
681,71.54577
682,61.907536
683,61.697376
684,58.278114
685,72.04839
686,84.64944
687,92.28196
688,93.04321
689,93.85971
690,88.076195
691,85.25438
692,79.63698
693,75.794716
694,70.18554
695,66.491974
696,61.45597
697,53.608917
698,47.08812
699,40.050507
700,39.25547
701,39.86533
702,39.685966
703,39.85475
704,39.476818
705,37.18426
706,35.175953
707,34.732033
708,37.677166
709,42.318356
710,51.232277
711,58.9273
712,67.42039
713,71.35096
714,74.92864
715,79.00538
716,84.17371
717,90.51622
718,96.019745
719,99.56499
720,97.12701
721,89.51491
722,84.15714
723,79.686
724,71.4815
725,70.64698
726,62.95407
727,61.797276
728,63.49935
729,68.91457
730,64.42211
731,66.5553
732,64.82279
733,61.34094
734,59.274197
735,52.18286
736,44.242424
737,41.454517
738,21.045628
739,13.96282
740,15.070785
741,16.683792
742,21.411024
743,26.479897
744,21.659128
745,15.037822
746,14.016422
747,14.785163
748,16.44208
749,18.01653
750,19.387304
751,33.35878
752,72.23009
753,89.683205
754,83.93213
755,91.2294
756,90.4303
757,80.23501
758,54.19273
759,73.34432
760,80.067505
761,87.01443
762,92.105316
763,95.50963
764,93.19389
765,84.25869
766,74.15281
767,58.092724
768,51.68127
769,55.637775
770,55.015865
771,49.409325
772,47.68526
773,48.476017
774,44.884483
775,47.289898
776,52.27034
777,57.246136
778,59.074436
779,65.07414
780,65.881226
781,67.36905
782,69.75856
783,67.82187
784,72.86563
785,79.37995
786,80.25082
787,77.05391
788,78.34965
789,76.93136
790,83.300705
791,78.119316
792,74.71751
793,67.969215
794,73.06341
795,83.129326
796,82.97066
797,86.92316
798,81.02604
799,68.5204
800,55.080017
801,45.98725
802,41.112083
803,37.876316
804,37.04483
805,37.537643
806,40.564262
807,51.316273
808,53.54899
809,49.86095
810,49.434185
811,49.755795
812,48.564323
813,52.002605
814,54.277702
815,58.25763
816,57.879173
817,59.428032
818,59.46931
819,55.65909
820,58.20109
821,59.905678
822,67.98872
823,85.97909
824,92.61513
825,92.87219
826,89.12786
827,88.71143
828,79.618515
829,74.100494
830,67.04487
831,58.905712
832,54.73214
833,60.585438
834,66.84532
835,78.300026
836,86.49746
837,88.64584
838,78.106834
839,62.176216
840,48.87031
841,41.09698
842,36.563637
843,34.994293
844,32.019993
845,35.328228
846,39.61897
847,40.427185
848,41.8371
849,43.730194
850,38.793262
851,34.092663
852,32.42994
853,33.610493
854,32.059864
855,32.83157
856,35.510834
857,31.542896
858,30.166924
859,33.536526
860,27.703289
861,22.43692
862,20.546425
863,20.01597
864,23.238287
865,28.20876
866,41.46311
867,46.001133
868,35.819786
869,26.210602
870,25.494974
871,22.718138
872,22.613228
873,29.80761
874,41.862144
875,60.97579
876,74.40663
877,80.84967
878,81.91831
879,69.63106
880,53.222424
881,39.937706
882,33.185837
883,30.312378
884,31.848148
885,35.311745
886,32.47339
887,35.344707
888,38.359802
889,38.864357
890,34.47329
891,34.151066
892,35.877148
893,36.429924
894,39.423706
895,50.173542
896,52.612347
897,48.92691
898,48.504883
899,47.81549
900,47.120502
901,51.34113
902,55.79363
903,68.100365
904,72.7026
905,89.54637
906,92.07437
907,90.807434
908,85.75859
909,83.84159
910,78.22297
911,82.31826
912,77.67757
913,72.68256
914,69.085556
915,79.85276
916,89.765366
917,93.5529
918,97.02121
919,97.19015
920,86.021225
921,73.97659
922,68.391914
923,64.10833
924,63.811913
925,67.764046
926,69.60586
927,66.8589
928,66.05108
929,58.88807
930,53.48933
931,55.450855
932,59.962337
933,60.90109
934,58.642933
935,57.411957
936,51.16134
937,48.066498
938,45.627907
939,44.527832
940,34.245365
941,30.882399
942,34.326733
943,37.292168
944,47.484154
945,53.399616
946,52.84449
947,41.53026
948,32.721035
949,25.54989
950,22.211596
951,19.639597
952,21.903225
953,24.854229
954,41.326218
955,64.90743
956,69.09241
957,61.41885
958,46.480522
959,38.843594
960,29.08388
961,27.23402
962,33.674095
963,44.532722
964,48.85802
965,46.031403
966,41.13948
967,38.04929
968,37.168484
969,37.61283
970,40.579704
971,50.539642
972,51.49631
973,46.177593
974,43.68228
975,40.738647
976,40.272526
977,43.102077
978,47.278004
979,51.736156
980,51.44121
981,42.769367
982,35.227077
983,32.144318
984,31.54675
985,39.268986
986,51.023525
987,62.902485
988,66.22815
989,68.086174
990,55.96208
991,49.563404
992,45.396927
993,42.110336
994,52.609535
995,73.32224
996,83.382805
997,88.06479
998,92.02915
999,96.090775
1000,97.256256
1001,94.056755
1002,78.27143
1003,60.172035
1004,47.444466
1005,43.146538
1006,45.96716
1007,51.730072
1008,56.710728
1009,59.184208
1010,57.917793
1011,49.99699
1012,46.5203
1013,45.678574
1014,46.628696
1015,46.46251
1016,50.21999
1017,49.872387
1018,42.585567
1019,37.216705
1020,26.98491
1021,20.088806
1022,16.815886
1023,15.510607
1024,15.143405
1025,14.99431
1026,15.212418
1027,15.666458
1028,15.915998
1029,14.787915
1030,14.259511
1031,14.318524
1032,13.490617
1033,13.293149
1034,13.386073
1035,13.510553
1036,13.54749
1037,14.107603
1038,15.285711
1039,16.329952
1040,16.859764
1041,16.761765
1042,16.152391
1043,15.6307745
1044,15.325676
1045,15.614692
1046,16.13915
1047,16.251492
1048,15.961314
1049,15.942937
1050,15.979966
1051,15.761217
1052,16.032774
1053,16.446146
1054,16.555338
1055,16.410095
1056,16.482044
1057,16.493725
1058,16.20749
1059,16.297571
1060,16.721004
1061,16.6153
1062,15.699635
1063,14.1855135
1064,12.475944
1065,11.577494
1066,11.292178
1067,11.411582
